Neighbourhood,Distance (m),Reviews,Rating,Price,Latitude,Longitude,Zipcode
Allerton,,326.42857142857144,4.119047619047619,,40.87411295416666,-73.87232859999999,10467.0
Astoria Heights,,65.22222222222223,4.044444444444444,,40.77999749999999,-73.90503074,11105.0
Bath Beach,,340.54545454545456,4.454545454545454,,40.59610446666667,-73.99623460833332,11214.0
Battery Park City,,39.0,4.7,,40.7119151,-74.0174643,10013.0
Bay Terrace,,33.857142857142854,4.0285714285714285,,40.70541958888889,-73.9010953111111,10308.0
Baychester,,101.5,4.5,,40.874311542857136,-73.82873912857143,10475.0
Bayside,,725.5,4.5,,40.7717964,-73.7735017,11361.0
Bayswater,,93.46153846153847,4.253846153846154,,40.600365438888886,-73.76651675,11691.0
Bedford Stuyvesant,,293.9166666666667,4.341666666666667,1.0,40.68240590625,-73.94671113125,11216.0
Bellaire,,93.88888888888889,4.6,,40.74509849,-73.75506637,11364.0
Bellerose,,81.5,4.675,,40.735139825000005,-73.72327992499999,11426.0
Belmont,,183.96296296296296,4.0777777777777775,,40.862625349999995,-73.88672308571428,10458.0
Boerum Hill,,50.44444444444444,4.155555555555555,,40.68411982222222,-73.97931501666666,11217.0
Borough Park,,205.42857142857142,4.242857142857143,,40.62274391111111,-73.98832067777776,11219.0
Briarwood,,226.85714285714286,4.357142857142857,,40.7076154625,-73.8140113875,11435.0
Bronxdale,,78.0,4.35,,40.8410595875,-73.85784759375,10462.0
Brookville,,683.75,4.525,,40.6643416,-73.75375749999999,11413.0
Brownsville,,110.375,4.2375,,40.663885616,-73.9127192,11212.0
Bushwick,,23.75,4.216666666666667,,40.69306099285715,-73.92923174285714,11221.0
Bushwick and Williamsburg,,396.2857142857143,4.385714285714285,,40.724316942857136,-73.9202912,
Cambria Heights,,148.0,4.466666666666667,,40.690490100000005,-73.73999753333332,11411.0
Canarsie and Flatlands,,565.0,4.366666666666666,,40.64291296666667,-73.87877893333332,
Carnegie Hill,,601.2,4.5200000000000005,,40.775709475,-73.951386325,10028.0
Castle Hill,,305.07142857142856,4.457142857142857,,40.81544200555555,-73.85555255555556,10473.0
Central Harlem,,491.0,4.406666666666666,,40.81279129375,-73.94487592499999,10030.0
Chelsea and Clinton,,206.61111111111111,4.383333333333334,,40.761699905,-73.990320605,
City Island,,61.6,4.4,,40.84838242,-73.7872304,10464.0
City Line,,23.166666666666668,3.65,,40.68265648571428,-73.85432447142855,11416.0
Civic Center,,585.7857142857143,4.3,1.0,40.72112192352942,-74.00741359999999,10013.0
Claremont Village,,140.78571428571428,4.1,,40.823522335294115,-73.89408046470588,10459.0
Clinton,,6446.615384615385,4.046153846153846,,40.75384971111111,-73.98943367222222,10018.0
Clinton Hill,,261.89473684210526,4.484210526315789,,40.677536157894735,-73.96632472631579,11238.0
College Point,,81.83333333333333,4.466666666666667,,40.78466835,-73.84445579999999,11356.0
Concord,,164.625,4.391666666666667,,40.59547474230769,-74.07387105,10305.0
Concourse Village,,61.63157894736842,4.0473684210526315,,40.83051609090909,-73.90804268636363,10456.0
Cypress Hills,,244.3,4.3149999999999995,,40.67478943939394,-73.87660135151515,11208.0
Ditmas Park,,186.06666666666666,4.486666666666666,,40.64975744210526,-73.97705026315789,11218.0
Douglaston,,16.0,3.75,,40.76575686666667,-73.73719999999999,11362.0
Dumbo,,1301.6190476190477,4.457142857142857,2.0,40.6965497893617,-73.99075595957446,11201.0
East Harlem,,219.28125,4.265625,,40.79251924705882,-73.94223751764706,10035.0
East Tremont,,334.0952380952381,4.057142857142857,,40.84590955714285,-73.89792591904762,10457.0
East Williamsburg,,89.27777777777777,4.444444444444445,,40.70139315,-73.942791225,11206.0
Edenwald,,99.83333333333333,3.783333333333333,,40.868938973333336,-73.84843776666666,10469.0
Edgewater Park,,64.72727272727273,4.318181818181818,,40.833309416666665,-73.82104073333333,10465.0
Elm Park,,73.0,4.15,,40.634581157142854,-74.16633975714285,10303.0
Erasmus,,34.333333333333336,4.466666666666667,,40.651167550000004,-73.95789596,11226.0
Financial District,,385.5,4.15,,40.710465649999996,-74.0008583,10038.0
Flatbush,,128.1,4.21,,40.62714524545454,-73.94411414545453,11218.0
Flatiron,,5626.2,4.57,,40.74183792307693,-74.00322149230769,10011.0
Floral Park,,53.5,4.25,,40.7490807,-73.71516144,11004.0
Flushing,,171.21428571428572,4.285714285714286,,40.767461925,-73.82247823125,11354.0
Forest Hills Gardens,,91.42857142857143,4.435714285714286,,40.721603625,-73.84365869375,11375.0
Fort Greene,,512.7692307692307,4.369230769230769,,40.69318642142857,-73.96592765714286,11205.0
Fort Hamilton,,370.35714285714283,4.328571428571428,,40.62018458333333,-74.03460263333334,11209.0
Fox Hills,,52.611111111111114,4.488888888888889,,40.616609204999996,-74.084035005,10304.0
Gerritsen Beach,,1976.3333333333333,4.416666666666667,,40.58159855652174,-73.94965271304348,11235.0
Glendale,,104.38461538461539,4.115384615384615,,40.70519880625,-73.8905764625,11385.0
Gramercy,,2237.5,4.5875,,40.75152421666667,-73.97959929166666,10010.0
Gravesend,,64.36363636363636,4.4363636363636365,,40.59571687142857,-73.98168805714285,11223.0
Greenpoint,,496.14285714285717,4.621428571428572,,40.7302063631579,-73.95536067368421,11222.0
Greenwich Village,,1753.2222222222222,4.333333333333333,,40.73142147,-73.98727773,10003.0
Hamilton Heights,,586.0,4.3,,40.82430799999999,-73.942442,10039.0
Hammels,,114.8,4.093333333333333,,40.59179274117647,-73.8144753882353,11693.0
HighBridge and Morrisania,,60.833333333333336,4.05,,40.823305430769224,-73.9151994076923,
Highland Park,,79.64,4.08,,40.672593973809526,-73.89165871190475,11207.0
Hillcrest,,519.4545454545455,4.263636363636364,,40.72760285454546,-73.78582694545455,11366.0
Hollis,,180.5,4.2,,40.71745776666666,-73.76693773333334,11423.0
Holliswood,,121.66666666666667,4.133333333333333,,40.73329804,-73.73772968,11427.0
Howard Beach,,378.3333333333333,4.166666666666667,,40.65478702499999,-73.8427028,11414.0
Hudson Yards,,179.4090909090909,4.613636363636363,2.0,40.74977591785714,-73.99651312857144,10001.0
Hunts Point,,222.0,4.485714285714286,,40.8144561,-73.88699837499999,10474.0
Inwood,,307.6923076923077,4.607692307692307,,40.86867337058823,-73.92117867647059,10034.0
Inwood and Washington Heights,,373.93333333333334,4.14,,40.85397989473684,-73.9334114105263,
Jackson Heights,,200.33333333333334,4.466666666666667,,40.751107165,-73.88444740499999,11372.0
Jamaica,,141.55555555555554,4.244444444444444,,40.69688584666666,-73.78832896666667,
Jamaica Hills,,172.7,4.07,,40.713366175000004,-73.79312655,11432.0
Kew Gardens,,98.6,4.4799999999999995,,40.70959357142857,-73.82865712857142,11415.0
Kew Gardens Hills,,84.44444444444444,4.111111111111111,,40.726918,-73.81989888,11367.0
Kingsbridge Heights,,276.1666666666667,4.116666666666666,,40.86881428888889,-73.89820684444445,10468.0
Laurelton,,77.0,3.8,,40.661655124999996,-73.736292675,11422.0
Lefrak City,,122.5,4.0,,40.741004266666664,-73.87983686,11373.0
Lenox Hill,,2.0,5.0,,40.773207299999996,-73.95280215,10075.0
Lighthouse Hill,,154.75,4.3149999999999995,,40.576411057142856,-74.11854476666666,10306.0
Lincoln Square,,262.2142857142857,4.507142857142857,,40.77539174666666,-73.98312166666666,10023.0
Lindenwood,,80.85714285714286,4.457142857142857,,40.676370825,-73.84262816249999,11417.0
Long Island City and Astoria,,106.55555555555556,4.311111111111111,,40.7708198,-73.92055024999999,
Lower East Side,,324.8181818181818,4.199999999999999,,40.716827725,-73.98697076666666,10002.0
Lower Manhattan,,4683.045454545455,4.613636363636363,0.0,40.71042919130435,-74.01036274347825,
Madison,,659.375,3.8,,40.60637308888889,-73.94586299999999,11229.0
Malba,,260.625,4.4125,,40.78858639090909,-73.81604007272728,11357.0
Manhattan Valley,,86.70588235294117,4.564705882352941,,40.79801791578947,-73.96509091052631,10025.0
Manhattanville,,291.375,4.13125,,40.82480201111111,-73.95165142222223,10031.0
Maspeth,,76.33333333333333,3.74,,40.725370725,-73.89963795625,11378.0
Melrose,,319.25,3.908333333333333,,40.813402866666664,-73.905618125,10455.0
Middle Village,,961.5,4.55,,40.714775599999996,-73.87479753333334,11379.0
Midtown South,,109.46153846153847,4.292307692307692,,40.741613988235294,-73.97833885294118,10016.0
Mill Basin,,103.45454545454545,4.3,,40.61515328125,-73.91439215625,11234.0
Morningside Heights,,169.26315789473685,4.431578947368421,0.0,40.8121126,-73.95580975,10027.0
